round,group,model,server_type,grad_mode,send_mode,acc,duration_s,iid,Device Type
1,classical,classical,fedavg,classical,classical,0.9344,66.923,iid,mix
1,hybrid,hybrid,fedavg,classical,classical,0.3236,66.923,iid,mix
1,quantum,quantum,fedavg,classical,classical,0.3667,66.923,iid,mix
2,classical,classical,fedavg,classical,classical,0.9669,66.323,iid,mix
2,hybrid,hybrid,fedavg,classical,classical,0.5774,66.323,iid,mix
2,quantum,quantum,fedavg,classical,classical,0.4791,66.323,iid,mix
3,classical,classical,fedavg,classical,classical,0.973,66.711,iid,mix
3,hybrid,hybrid,fedavg,classical,classical,0.793,66.711,iid,mix
3,quantum,quantum,fedavg,classical,classical,0.5444,66.711,iid,mix
4,classical,classical,fedavg,classical,classical,0.9784,68.918,iid,mix
4,hybrid,hybrid,fedavg,classical,classical,0.8856,68.918,iid,mix
4,quantum,quantum,fedavg,classical,classical,0.5765,68.918,iid,mix
5,classical,classical,fedavg,classical,classical,0.9809,66.476,iid,mix
5,hybrid,hybrid,fedavg,classical,classical,0.9228,66.476,iid,mix
5,quantum,quantum,fedavg,classical,classical,0.5985,66.476,iid,mix
6,classical,classical,fedavg,classical,classical,0.9809,66.347,iid,mix
6,hybrid,hybrid,fedavg,classical,classical,0.9313,66.347,iid,mix
6,quantum,quantum,fedavg,classical,classical,0.6134,66.347,iid,mix
7,classical,classical,fedavg,classical,classical,0.9813,66.392,iid,mix
7,hybrid,hybrid,fedavg,classical,classical,0.9381,66.392,iid,mix
7,quantum,quantum,fedavg,classical,classical,0.6311,66.392,iid,mix
8,classical,classical,fedavg,classical,classical,0.9843,66.483,iid,mix
8,hybrid,hybrid,fedavg,classical,classical,0.9408,66.483,iid,mix
8,quantum,quantum,fedavg,classical,classical,0.6421,66.483,iid,mix
9,classical,classical,fedavg,classical,classical,0.9843,66.773,iid,mix
9,hybrid,hybrid,fedavg,classical,classical,0.9442,66.773,iid,mix
9,quantum,quantum,fedavg,classical,classical,0.6528,66.773,iid,mix
10,classical,classical,fedavg,classical,classical,0.985,66.759,iid,mix
10,hybrid,hybrid,fedavg,classical,classical,0.9461,66.759,iid,mix
10,quantum,quantum,fedavg,classical,classical,0.6615,66.759,iid,mix
11,classical,classical,fedavg,classical,classical,0.9861,65.999,iid,mix
11,hybrid,hybrid,fedavg,classical,classical,0.9482,65.999,iid,mix
11,quantum,quantum,fedavg,classical,classical,0.6688,65.999,iid,mix
12,classical,classical,fedavg,classical,classical,0.9856,67.349,iid,mix
12,hybrid,hybrid,fedavg,classical,classical,0.95,67.349,iid,mix
12,quantum,quantum,fedavg,classical,classical,0.6737,67.349,iid,mix
13,classical,classical,fedavg,classical,classical,0.9847,67.474,iid,mix
13,hybrid,hybrid,fedavg,classical,classical,0.9519,67.474,iid,mix
13,quantum,quantum,fedavg,classical,classical,0.6781,67.474,iid,mix
14,classical,classical,fedavg,classical,classical,0.985,67.284,iid,mix
14,hybrid,hybrid,fedavg,classical,classical,0.9511,67.284,iid,mix
14,quantum,quantum,fedavg,classical,classical,0.6801,67.284,iid,mix
15,classical,classical,fedavg,classical,classical,0.9848,67.4,iid,mix
15,hybrid,hybrid,fedavg,classical,classical,0.9526,67.4,iid,mix
15,quantum,quantum,fedavg,classical,classical,0.6841,67.4,iid,mix
16,classical,classical,fedavg,classical,classical,0.987,67.36,iid,mix
16,hybrid,hybrid,fedavg,classical,classical,0.9545,67.36,iid,mix
16,quantum,quantum,fedavg,classical,classical,0.6866,67.36,iid,mix
17,classical,classical,fedavg,classical,classical,0.9864,68.143,iid,mix
17,hybrid,hybrid,fedavg,classical,classical,0.9528,68.143,iid,mix
17,quantum,quantum,fedavg,classical,classical,0.691,68.143,iid,mix
18,classical,classical,fedavg,classical,classical,0.9868,67.381,iid,mix
18,hybrid,hybrid,fedavg,classical,classical,0.9546,67.381,iid,mix
18,quantum,quantum,fedavg,classical,classical,0.6937,67.381,iid,mix
19,classical,classical,fedavg,classical,classical,0.9862,67.098,iid,mix
19,hybrid,hybrid,fedavg,classical,classical,0.9548,67.098,iid,mix
19,quantum,quantum,fedavg,classical,classical,0.6952,67.098,iid,mix
20,classical,classical,fedavg,classical,classical,0.9868,67.402,iid,mix
20,hybrid,hybrid,fedavg,classical,classical,0.9554,67.402,iid,mix
20,quantum,quantum,fedavg,classical,classical,0.6984,67.402,iid,mix
21,classical,classical,fedavg,classical,classical,0.9868,67.046,iid,mix
21,hybrid,hybrid,fedavg,classical,classical,0.955,67.046,iid,mix
21,quantum,quantum,fedavg,classical,classical,0.7007,67.046,iid,mix
22,classical,classical,fedavg,classical,classical,0.9874,67.285,iid,mix
22,hybrid,hybrid,fedavg,classical,classical,0.9555,67.285,iid,mix
22,quantum,quantum,fedavg,classical,classical,0.7018,67.285,iid,mix
23,classical,classical,fedavg,classical,classical,0.9872,67.431,iid,mix
23,hybrid,hybrid,fedavg,classical,classical,0.9564,67.431,iid,mix
23,quantum,quantum,fedavg,classical,classical,0.7039,67.431,iid,mix
24,classical,classical,fedavg,classical,classical,0.9875,66.088,iid,mix
24,hybrid,hybrid,fedavg,classical,classical,0.9558,66.088,iid,mix
24,quantum,quantum,fedavg,classical,classical,0.7055,66.088,iid,mix
25,classical,classical,fedavg,classical,classical,0.9878,65.685,iid,mix
25,hybrid,hybrid,fedavg,classical,classical,0.9569,65.685,iid,mix
25,quantum,quantum,fedavg,classical,classical,0.7071,65.685,iid,mix
26,classical,classical,fedavg,classical,classical,0.9877,65.177,iid,mix
26,hybrid,hybrid,fedavg,classical,classical,0.9567,65.177,iid,mix
26,quantum,quantum,fedavg,classical,classical,0.7084,65.177,iid,mix
27,classical,classical,fedavg,classical,classical,0.9864,67.282,iid,mix
27,hybrid,hybrid,fedavg,classical,classical,0.9572,67.282,iid,mix
27,quantum,quantum,fedavg,classical,classical,0.7085,67.282,iid,mix
28,classical,classical,fedavg,classical,classical,0.9877,66.725,iid,mix
28,hybrid,hybrid,fedavg,classical,classical,0.9575,66.725,iid,mix
28,quantum,quantum,fedavg,classical,classical,0.7104,66.725,iid,mix
29,classical,classical,fedavg,classical,classical,0.9874,66.977,iid,mix
29,hybrid,hybrid,fedavg,classical,classical,0.958,66.977,iid,mix
29,quantum,quantum,fedavg,classical,classical,0.7112,66.977,iid,mix
30,classical,classical,fedavg,classical,classical,0.9875,67.161,iid,mix
30,hybrid,hybrid,fedavg,classical,classical,0.9584,67.161,iid,mix
30,quantum,quantum,fedavg,classical,classical,0.7123,67.161,iid,mix
31,classical,classical,fedavg,classical,classical,0.9879,66.349,iid,mix
31,hybrid,hybrid,fedavg,classical,classical,0.9577,66.349,iid,mix
31,quantum,quantum,fedavg,classical,classical,0.7142,66.349,iid,mix
32,classical,classical,fedavg,classical,classical,0.9874,66.663,iid,mix
32,hybrid,hybrid,fedavg,classical,classical,0.9578,66.663,iid,mix
32,quantum,quantum,fedavg,classical,classical,0.7141,66.663,iid,mix
33,classical,classical,fedavg,classical,classical,0.9876,66.558,iid,mix
33,hybrid,hybrid,fedavg,classical,classical,0.958,66.558,iid,mix
33,quantum,quantum,fedavg,classical,classical,0.7156,66.558,iid,mix
34,classical,classical,fedavg,classical,classical,0.9874,66.822,iid,mix
34,hybrid,hybrid,fedavg,classical,classical,0.9579,66.822,iid,mix
34,quantum,quantum,fedavg,classical,classical,0.7162,66.822,iid,mix
35,classical,classical,fedavg,classical,classical,0.9878,67.353,iid,mix
35,hybrid,hybrid,fedavg,classical,classical,0.9584,67.353,iid,mix
35,quantum,quantum,fedavg,classical,classical,0.7171,67.353,iid,mix
36,classical,classical,fedavg,classical,classical,0.9879,67.48,iid,mix
36,hybrid,hybrid,fedavg,classical,classical,0.9572,67.48,iid,mix
36,quantum,quantum,fedavg,classical,classical,0.7177,67.48,iid,mix
