round,group,model,server_type,grad_mode,send_mode,acc,duration_s,iid,Device Type
1,classical,classical,fedavg,classical,classical,0.6227,98.123,dirichlet,mix
1,hybrid,hybrid,fedavg,classical,classical,0.1135,98.123,dirichlet,mix
1,quantum,quantum,fedavg,classical,classical,0.1995,98.123,dirichlet,mix
2,classical,classical,fedavg,classical,classical,0.8716,98.181,dirichlet,mix
2,hybrid,hybrid,fedavg,classical,classical,0.3401,98.181,dirichlet,mix
2,quantum,quantum,fedavg,classical,classical,0.191,98.181,dirichlet,mix
3,classical,classical,fedavg,classical,classical,0.9518,97.801,dirichlet,mix
3,hybrid,hybrid,fedavg,classical,classical,0.3827,97.801,dirichlet,mix
3,quantum,quantum,fedavg,classical,classical,0.1979,97.801,dirichlet,mix
4,classical,classical,fedavg,classical,classical,0.9533,96.945,dirichlet,mix
4,hybrid,hybrid,fedavg,classical,classical,0.4263,96.945,dirichlet,mix
4,quantum,quantum,fedavg,classical,classical,0.2172,96.945,dirichlet,mix
5,classical,classical,fedavg,classical,classical,0.9626,99.418,dirichlet,mix
5,hybrid,hybrid,fedavg,classical,classical,0.4828,99.418,dirichlet,mix
5,quantum,quantum,fedavg,classical,classical,0.2438,99.418,dirichlet,mix
6,classical,classical,fedavg,classical,classical,0.966,103.79,dirichlet,mix
6,hybrid,hybrid,fedavg,classical,classical,0.5378,103.79,dirichlet,mix
6,quantum,quantum,fedavg,classical,classical,0.2693,103.79,dirichlet,mix
7,classical,classical,fedavg,classical,classical,0.9722,104.36,dirichlet,mix
7,hybrid,hybrid,fedavg,classical,classical,0.67,104.36,dirichlet,mix
7,quantum,quantum,fedavg,classical,classical,0.2823,104.36,dirichlet,mix
8,classical,classical,fedavg,classical,classical,0.9714,101.757,dirichlet,mix
8,hybrid,hybrid,fedavg,classical,classical,0.7252,101.757,dirichlet,mix
8,quantum,quantum,fedavg,classical,classical,0.2883,101.757,dirichlet,mix
9,classical,classical,fedavg,classical,classical,0.9727,104.696,dirichlet,mix
9,hybrid,hybrid,fedavg,classical,classical,0.7473,104.696,dirichlet,mix
9,quantum,quantum,fedavg,classical,classical,0.2899,104.696,dirichlet,mix
10,classical,classical,fedavg,classical,classical,0.9737,107.211,dirichlet,mix
10,hybrid,hybrid,fedavg,classical,classical,0.7628,107.211,dirichlet,mix
10,quantum,quantum,fedavg,classical,classical,0.2921,107.211,dirichlet,mix
11,classical,classical,fedavg,classical,classical,0.9718,111.659,dirichlet,mix
11,hybrid,hybrid,fedavg,classical,classical,0.7641,111.659,dirichlet,mix
11,quantum,quantum,fedavg,classical,classical,0.2937,111.659,dirichlet,mix
12,classical,classical,fedavg,classical,classical,0.9722,105.422,dirichlet,mix
12,hybrid,hybrid,fedavg,classical,classical,0.7912,105.422,dirichlet,mix
12,quantum,quantum,fedavg,classical,classical,0.2951,105.422,dirichlet,mix
13,classical,classical,fedavg,classical,classical,0.9753,111.397,dirichlet,mix
13,hybrid,hybrid,fedavg,classical,classical,0.7999,111.397,dirichlet,mix
13,quantum,quantum,fedavg,classical,classical,0.2965,111.397,dirichlet,mix
14,classical,classical,fedavg,classical,classical,0.9782,120.364,dirichlet,mix
14,hybrid,hybrid,fedavg,classical,classical,0.8354,120.364,dirichlet,mix
14,quantum,quantum,fedavg,classical,classical,0.2989,120.364,dirichlet,mix
15,classical,classical,fedavg,classical,classical,0.9769,123.827,dirichlet,mix
15,hybrid,hybrid,fedavg,classical,classical,0.8474,123.827,dirichlet,mix
15,quantum,quantum,fedavg,classical,classical,0.301,123.827,dirichlet,mix
16,classical,classical,fedavg,classical,classical,0.9789,123.683,dirichlet,mix
16,hybrid,hybrid,fedavg,classical,classical,0.8611,123.683,dirichlet,mix
16,quantum,quantum,fedavg,classical,classical,0.3038,123.683,dirichlet,mix
17,classical,classical,fedavg,classical,classical,0.9774,123.196,dirichlet,mix
17,hybrid,hybrid,fedavg,classical,classical,0.875,123.196,dirichlet,mix
17,quantum,quantum,fedavg,classical,classical,0.3073,123.196,dirichlet,mix
18,classical,classical,fedavg,classical,classical,0.9755,121.913,dirichlet,mix
18,hybrid,hybrid,fedavg,classical,classical,0.89,121.913,dirichlet,mix
18,quantum,quantum,fedavg,classical,classical,0.3101,121.913,dirichlet,mix
19,classical,classical,fedavg,classical,classical,0.9774,120.459,dirichlet,mix
19,hybrid,hybrid,fedavg,classical,classical,0.8877,120.459,dirichlet,mix
19,quantum,quantum,fedavg,classical,classical,0.3121,120.459,dirichlet,mix
20,classical,classical,fedavg,classical,classical,0.9744,119.311,dirichlet,mix
